x, y, width
3500.02, 525.62, 500
13749.69, 0, 500
3500.02, -525.62, 500

2500.02, 1576.87, 500
34037.46, 0, 500
2500.02, -1576.87, 500

1500.01, 2628.12, 500
54062.43, 0, 500
1500.01, -2628.12, 500

500.00, 3679.37, 500
74087.39, 0, 500
500.00, -3679.37, 500
