x, y,,start width,end width
3500.02,525.62,,0,0
13749.69,0,,500,500
3500.02,-525.62,,,500
,,,500,
2500.02,1576.87,,500,500
34037.46,0,,0,500
24049.96,-499.38,,500,500
2500.02,-1576.87,,,500
,,,500,
1500.01,2628.12,,500,500
54062.43,0,,0,500
44074.91,-499.38,,500,500
1500.01,-2628.12,,,500
,,,500,
500,3679.37,,500,500
74087.39,0,,0,500
64099.88,-499.38,,500,500
500,-3679.37,,,500
